buying;doors;lug_boot;maint;persons;safety;decision
;;;;;low;unacc
;;;;2;;unacc
high;;;vhigh;;;unacc
vhigh;;;high;;;unacc
vhigh;;;vhigh;;;unacc
vhigh;;small;;;med;unacc
;;small;vhigh;;med;unacc
high;;small;;;med;unacc
;2;small;;more;;unacc
vhigh;2;med;;;med;unacc
med;;small;high;;med;unacc
;2;med;vhigh;;med;unacc
high;2;med;;;med;unacc
vhigh;;;low;4;high;acc
low;;;vhigh;4;high;acc
low;;;high;4;med;acc
high;;;low;4;high;acc
high;;;med;4;high;acc
vhigh;;;med;4;high;acc
med;;;high;4;high;acc
med;;;vhigh;4;high;acc
high;;;high;4;high;acc
med;;;med;4;med;acc
