bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;n;s;f;;;;;;;;;;;;;;;;;;;e
;;;;f;n;;;;;;;;;;;;t;;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
;;;;;;;;;;;;;;;;?;e;;s;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
t;y;;;;;;;;l;;;;;;;;;;;;;e
;;;;;n;;;;n;;;;;;;;;s;;;;e
;;;;;n;;;;n;;;;;;;;;;s;;;e
;;k;s;;;;;;;;;;;;;;e;;;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
;;;;;;;;;;;;;;;;?;e;s;;;;e
;g;s;f;;;;;;;;;;;;;;;;;;;e
f;w;;;;;;;;n;;;;;;;;;;;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;;;s;;;;;;;;;;;;;?;e;;;;;e
;;;;;;;;;;;;p;;;;?;;;;;p;e
;;k;;;;b;;;n;;;;;;;;;;;;;e
;;;;;;b;;;;;;;;;;?;e;;;;;e
;n;;s;;;b;;;;;;;;;;;;;;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
t;y;;;;;;;;a;;;;;;;;;;;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;s;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;f;f;u;;;;;;;;;;;;t;;;;;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
f;;k;;;;;;;;;;;;;;;e;s;;;;e
t;y;;;f;n;;;;;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;f;;;;e
;;;;f;;;;;;;;;;;;e;;f;f;;;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
t;w;;f;;;;;;l;;;;;;;;;;;;;e
t;;;;f;p;;;;a;;;;;;;;;;;;;e
;;;f;f;p;;;;n;;;;;;;;;;;;;e
;;f;f;f;;;;;;;;;;;;;;;s;;;e
;n;;;f;p;;;;;;;;;;;;t;;;;;e
;;x;;;;b;;;;;;;;;;;e;s;;;;e
;;;f;f;w;;w;;;;;;;;;;;;;;;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
t;;;;f;n;;;;a;;;;;;;;;;;;;e
;;f;f;f;;;;;;;;;;;w;;;;;;;e
;;;;f;p;;;;n;;;;;;;;;s;;;;e
;;;;f;;;w;;;;;;;;;;;f;f;;;e
t;;;f;f;;b;;;;;;;;;;;;;;;;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
t;y;;;f;w;;;;;;;;;;;;;;;;;e
;n;k;;;;;;;;;;;;;;;e;;s;;;e
;;f;f;f;n;;;;;;;;;;;;;;;;;e
t;;;;f;w;;;;a;;;;;;;;;;;;;e
;;;;;;;;;;v;;p;w;;;;;;;;p;e
;n;;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;k;;;;;;;;;;;c;e;;;;;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;;;f;n;;;;n;;;;;;w;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;;;f;p;b;w;;;;;;;;;;;;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;f;k;b;;;;;;;;;;;;s;;;;e
;;;f;f;w;;;;;;;;;;;;;s;;;;e
;;;;f;;;;;;;;;;;;e;;f;s;;;e
;;;;f;;;w;;;;;;;;;;t;s;;;;e
;;x;;f;w;;w;;;;;;;;;;;;;;;e
;;x;s;;;b;;;;;;;;;;;e;;;;;e
;;x;;;;b;;;;;;;;;;;e;;s;;;e
;;;;f;h;;;;n;;;;;;;;;s;;;;e
;;f;f;f;;;;;;;;;;;;;t;;;;;e
;;;;f;;b;w;;;;;;;;;;;;s;;;e
;;;;f;p;;;;n;;;;;;;;;;s;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
f;;;;f;h;;;;;;;;;;w;;;;;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;;;f;n;b;;;;;;;;;w;;;;;;;e
;n;k;;;;;;;;;;;;;;;e;s;;;;e
t;;;;f;;;;;l;;;;;;;;e;;;;;e
;;;;f;n;b;;;;;;;;w;;;;;;;;e
;;x;;f;p;;;;n;;;;;;;;;;;;;e
;n;;;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;;b;w;;;;;;;;;;;s;;;;e
;;;f;f;w;;;;;;;;;;;;;;s;;;e
t;;;f;f;n;;;;;;;;;;;;;;;;;e
f;;k;;;;;;;;;;;;;;;e;;s;;;e
;w;;;f;p;;;;n;;;;;;;;;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;f;f;f;;;;;;;;;;;;;;s;;;;e
t;;;;f;n;;;;l;;;;;;;;;;;;;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
;;;;;n;b;c;;;;;;;;;;e;;;;;e
;;;;f;n;;;;n;;;;;w;;;;;;;;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;;k;s;;;;c;;n;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;s;;;;e
;;;;f;p;;;;n;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;;;f;h;;;;n;;;;;;;;;;f;;;e
t;;;;f;w;;;;l;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;f;;;e
t;;;;f;;;;;a;;;;;;;;e;;;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;;;w;;;;;;;;;;;f;s;;;e
;;;;;n;;c;;n;;;;;;;;e;;;;;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
t;;;f;f;w;;;;;;;;;;;;;;;;;e
t;y;;;f;p;;;;;;;;;;;;;;;;;e
;;;;f;;;w;;;;;;;;;;t;;s;;;e
t;y;;;f;;;;;;;;;;;;;e;;;;;e
;;;;f;;;;;n;;;;;;;e;;;s;;;e
t;;;;f;p;;;;l;;;;;;;;;;;;;e
;;;;;;;;l;;;o;;n;;;;;;;;p;e
;;;;f;;;;;;;;;;;w;?;e;;;;;e
;n;;;f;;;;;n;;;;;;;b;;;;;;e
;n;;;f;;b;;;;;;;;;w;;;;;;;e
t;;;f;f;p;;;;;;;;;;;;;;;;;e
f;;b;s;;;;;;n;;;;;;;;;;;;;e
;;;;f;p;;;;n;;;;;w;;;;;;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;;;;;n;;;;;;;e;;s;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
;;;;f;k;b;;;;;;;;;;;;;s;;;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
t;w;;f;;;;;;a;;;;;;;;;;;;;e
;;;;f;;b;;;n;;;;;;;;t;s;;;;e
;;;;f;u;;;;;;;;;;;;e;s;f;;;e
;n;;f;f;;;;;n;;;;;;;;t;;;;;e
;;x;y;f;;;;;;;;;;;;b;;s;;;;e
;;;;;;;;;n;v;o;p;;;;;;;;;p;e
;;;;;;;;;n;v;o;;;;;;;;s;;p;e
;;x;;;;;;;;;;p;w;;;;;;;w;p;e
