Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;;;;;;;w;;;;;;;;;f;;;;b;;g
;;;;;;w;;;;;;;;;;f;;;;b;;g
;;t;;;;;;;;;;;;;;f;;;;b;;g
;;;;;s;;;;w;;;;;;;f;;;;b;;g
e;;t;;;;;;;;;;;;;;f;n;;;;;g
;;;;s;;;;;w;;;;;;;f;;;;b;;g
;;;;;;w;w;;;;;;;;;f;n;;w;;;g
e;;;;;;w;w;;;;;;;;;f;;;w;;;g
e;;;;;;w;;;;;;s;;;;f;n;;;;;g
e;;;;;;;;;w;o;;;;;;f;;;;b;;g
;;;;;;;;;w;o;;;;;;f;n;;;b;;g
e;;;;;;w;w;;;;;;;s;;f;;;;;;g
e;;;;;;w;;;;o;e;;;;;;n;;;b;;g
e;;;;;;w;w;;;;;s;;;;;;;w;b;;g
;;;b;s;;;p;;;;;;;;;;;;;;;d
;;;b;s;;p;;;;;;;;;;;;;;;;d
;;;b;;;;;;;;p;;n;v;;;;;;;;d
;;;b;s;;;;;;;;f;;;;;;;c;;;d
;;t;b;;;;;;;;p;;n;;;;;;;;;d
;;;;;;;;;;o;;y;;;;;n;;c;;;d
;;;b;;;;;;;;p;f;;v;;;;;;;;d
;;t;b;;;;;;;;p;f;;;;;;;;;;d
e;;;b;;;;;;;o;;;;;;;;;c;;;d
;;t;;;;;;;;;;;;;n;;;;c;b;;d
;;;;;;;;;;o;;;;;e;;;f;c;b;;d
;;;;s;;;;;;o;;;;;e;;;;c;b;;d
;;t;;s;s;;;;;;;;;;e;;;;;b;;d
;;;;;;w;;;;o;;;;;;;n;;c;b;;d
;;;b;s;s;;;;;;p;;k;;;;;;;;;d
;;;;s;;;;;;o;;f;;;;;;;c;b;;d
;;;b;s;s;;;;;;p;f;;;;;;;;;;d
;;t;;s;s;p;;;;;;;;;;;;;;b;;d
;;t;;s;s;;p;;;;;;;;;;;;;b;;d
;;t;;s;s;;;;;;;y;;;;;;;;b;;d
;;;b;s;;;;;;o;;y;;;;;;;c;;;d
;;;;;;;;;w;o;;;;;;;n;;c;b;;d
;;;;s;;;w;;;o;;;;;;;n;;c;b;;d
e;;;b;s;s;;;;;o;p;;;;;;;;;;;d
;;;;;s;;;;w;o;;;;;n;;;;c;b;;d
e;;t;;;s;;;;;;p;;k;;;t;;;;;;d
e;;t;;s;s;;;;;;p;;;;;;;;c;;;d
e;;t;;s;s;;;;;;;;;;;;;;c;b;;d
e;;t;;;s;;;;;;p;;n;;;t;;;;;;d
e;;t;;s;s;;;;;;;;;v;;;;;c;;;d
;;;b;s;s;;;;;;p;;n;;;;;;c;;;d
e;;;;s;s;;;;;o;p;f;;;;;;;;b;;d
e;;;;s;s;;;;;o;p;;;v;;t;;;;;;d
e;;t;;s;s;;;;;o;p;f;;;;;;;;;;d
e;;t;;s;s;;w;;;o;p;;;;;;;;;;;d
e;;t;;s;s;w;;;;o;p;;;;;;;;;;;d
e;;;;s;s;;;;;;p;;k;;;;n;;;b;;d
;;;b;s;s;;;;;o;p;;;;;;n;;c;;;d
e;;;;s;s;;;;;;;;k;;;;n;;c;b;;d
e;;;;s;s;;;;;o;;;;;g;;;;c;b;;d
e;f;;;s;s;;;;;o;p;;;;;t;;;;;;d
;;;b;s;s;;;;w;o;p;;n;;;;;f;;;;d
e;;;;s;s;;;;w;o;;;;v;;;;;c;b;;d
;;;b;s;s;;;;w;o;p;;;;;;;f;;;n;d
e;;t;;s;s;;;;w;o;p;;;;;;;f;;;;d
e;;t;;s;s;;;;w;o;;;;v;;;;f;;;;d
e;f;;;s;s;;;;w;o;;;;;;;;;c;b;;d
;;;;s;s;;;;;o;p;;;;n;t;;;c;b;;d
e;;;;s;s;;;;;o;p;;;y;;t;;;c;b;;d
e;;;;s;s;;;;;o;p;;;y;;;n;;c;b;;d
