Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
;very_crit;;3;;;;priority;spec_prior
;very_crit;;;;inconv;;priority;spec_prior
;very_crit;incomplete;;;;;priority;spec_prior
;very_crit;;;critical;;;priority;spec_prior
;very_crit;;;less_conv;;;priority;spec_prior
;very_crit;foster;;;;;priority;spec_prior
;very_crit;;2;;;;priority;spec_prior
;very_crit;completed;;;;;priority;spec_prior
;very_crit;;more;;;;priority;spec_prior
great_pret;improper;completed;;;;;priority;spec_prior
;very_crit;completed;;;;problematic;recommended;spec_prior
;very_crit;;3;critical;;;recommended;spec_prior
;very_crit;completed;;critical;;;recommended;spec_prior
great_pret;critical;;more;;;;priority;spec_prior
great_pret;;;3;critical;;;priority;spec_prior
pretentious;critical;completed;;;;;priority;spec_prior
great_pret;critical;;3;;;;priority;spec_prior
great_pret;;;more;;inconv;;priority;spec_prior
pretentious;critical;;;critical;;;priority;spec_prior
;very_crit;;3;;inconv;;recommended;spec_prior
;critical;foster;;less_conv;;;priority;spec_prior
pretentious;critical;foster;;;;;priority;spec_prior
great_pret;improper;;2;;;;priority;spec_prior
;very_crit;;2;;;problematic;recommended;spec_prior
great_pret;;foster;;critical;;;priority;spec_prior
;critical;foster;;critical;;;priority;spec_prior
great_pret;improper;;;less_conv;;;priority;spec_prior
great_pret;;;3;less_conv;;;priority;spec_prior
great_pret;improper;;;critical;;;priority;spec_prior
;very_crit;;2;critical;;;recommended;spec_prior
great_pret;;foster;;less_conv;;;priority;spec_prior
;very_crit;;3;less_conv;;;recommended;spec_prior
great_pret;improper;;3;;;;priority;spec_prior
pretentious;critical;;;less_conv;;;priority;spec_prior
;very_crit;;3;;;problematic;recommended;spec_prior
great_pret;improper;;;;inconv;;priority;spec_prior
great_pret;;;2;critical;;;priority;spec_prior
great_pret;;foster;;;inconv;;priority;spec_prior
;very_crit;foster;;;inconv;;recommended;spec_prior
;very_crit;;;;inconv;problematic;recommended;spec_prior
great_pret;critical;incomplete;;;;;priority;spec_prior
;very_crit;;;critical;;problematic;recommended;spec_prior
great_pret;;incomplete;;critical;;;priority;spec_prior
;very_crit;;;less_conv;;problematic;recommended;spec_prior
great_pret;critical;foster;;;;;priority;spec_prior
;critical;;2;critical;;;priority;spec_prior
;critical;foster;;;inconv;;priority;spec_prior
;critical;;3;less_conv;;;priority;spec_prior
pretentious;critical;;3;;;;priority;spec_prior
;critical;;3;critical;;;priority;spec_prior
;very_crit;;more;;inconv;;recommended;spec_prior
great_pret;improper;;more;;;;priority;spec_prior
great_pret;critical;;;less_conv;;;priority;spec_prior
;very_crit;;more;critical;;;recommended;spec_prior
great_pret;;;more;less_conv;;;priority;spec_prior
;very_crit;;more;;;problematic;recommended;spec_prior
;very_crit;;more;less_conv;;;recommended;spec_prior
;critical;completed;;critical;;;priority;spec_prior
great_pret;;;more;critical;;;priority;spec_prior
;very_crit;incomplete;;critical;;;recommended;spec_prior
great_pret;critical;;;;inconv;;priority;spec_prior
great_pret;critical;;;critical;;;priority;spec_prior
pretentious;critical;;2;;;;priority;spec_prior
;very_crit;incomplete;;;;problematic;recommended;spec_prior
great_pret;improper;incomplete;;;;;priority;spec_prior
;critical;incomplete;;critical;;;priority;spec_prior
pretentious;critical;incomplete;;;;;priority;spec_prior
pretentious;critical;;;;inconv;;priority;spec_prior
great_pret;;completed;;critical;;;priority;spec_prior
;critical;;more;;inconv;;priority;spec_prior
;very_crit;foster;;critical;;;recommended;spec_prior
great_pret;critical;;2;;;;priority;spec_prior
;very_crit;foster;;;;problematic;recommended;spec_prior
great_pret;improper;foster;;;;;priority;spec_prior
;very_crit;foster;;less_conv;;;recommended;spec_prior
;critical;;more;critical;;;priority;spec_prior
great_pret;;;3;;inconv;;priority;spec_prior
great_pret;critical;completed;;;;;priority;spec_prior
pretentious;critical;;more;;;;priority;spec_prior
;critical;;more;less_conv;;;priority;spec_prior
;critical;;3;;inconv;;priority;spec_prior
great_pret;;foster;;;inconv;problematic;recommended;spec_prior
great_pret;;;more;;inconv;problematic;recommended;spec_prior
great_pret;;;3;;inconv;problematic;recommended;spec_prior
usual;proper;;;;;;priority;priority
pretentious;proper;;;;;;priority;priority
usual;improper;;;;;;priority;priority
pretentious;less_proper;;;;;;priority;priority
usual;less_proper;;;;;;priority;priority
pretentious;improper;;;;;nonprob;recommended;priority
pretentious;improper;;;;;slightly_prob;recommended;priority
usual;improper;;;;;problematic;recommended;priority
;less_proper;complete;1;;;;priority;priority
;less_proper;;;convenient;convenient;;priority;priority
great_pret;less_proper;;;;;nonprob;recommended;priority
great_pret;less_proper;;;;;slightly_prob;recommended;priority
usual;critical;;;;;slightly_prob;recommended;priority
usual;critical;;;;;nonprob;recommended;priority
;proper;complete;1;;;;priority;priority
;proper;;;convenient;convenient;;priority;priority
pretentious;proper;;;;;problematic;recommended;priority
usual;proper;;;;;problematic;recommended;priority
pretentious;less_proper;;;;;problematic;recommended;priority
great_pret;proper;;;;;slightly_prob;recommended;priority
great_pret;proper;;;;;nonprob;recommended;priority
usual;less_proper;;;;;problematic;recommended;priority
great_pret;;;;convenient;convenient;slightly_prob;recommended;priority
great_pret;;;;convenient;convenient;nonprob;recommended;priority
;;;;;;;not_recom;not_recom
