buying;doors;lug_boot;maint;persons;safety;decision
;;;;;low;unacc
;;;;2;;unacc
vhigh;;;vhigh;;;unacc
high;;;vhigh;;;unacc
vhigh;;;high;;;unacc
vhigh;;small;;;med;unacc
;2;small;;more;;unacc
high;;small;;;med;unacc
;;small;vhigh;;med;unacc
;2;med;vhigh;;med;unacc
high;2;med;;;med;unacc
vhigh;2;med;;;med;unacc
med;;small;high;;med;unacc
high;3;med;;4;med;unacc
vhigh;3;med;;4;med;unacc
;3;med;vhigh;4;med;unacc
med;2;med;high;;med;unacc
med;3;med;high;4;med;unacc
high;;;low;4;high;acc
high;;;med;4;high;acc
med;;;vhigh;4;high;acc
high;;;high;4;high;acc
low;;;vhigh;4;high;acc
vhigh;;;low;4;high;acc
low;;;high;4;med;acc
vhigh;;;med;4;high;acc
med;;;high;4;high;acc
med;;;med;4;med;acc
med;;small;med;4;high;acc
low;5more;;high;more;med;acc
low;4;;high;more;med;acc
med;;big;med;more;med;acc
med;;med;med;more;med;acc
med;;big;high;4;med;acc
low;4;;vhigh;more;high;acc
med;;big;high;more;high;acc
med;;med;high;more;high;acc
med;;big;high;more;med;acc
low;3;;vhigh;more;high;acc
low;3;;high;more;med;acc
low;5more;;vhigh;more;high;acc
low;;small;low;4;med;acc
low;;small;med;4;med;acc
med;;small;low;4;med;acc
low;;med;high;more;med;acc
low;;big;high;more;med;acc
low;;small;high;4;high;acc
low;;big;vhigh;more;med;acc
low;;big;vhigh;4;med;acc
low;;med;vhigh;more;high;acc
low;;big;vhigh;more;high;acc
high;5more;;med;more;high;acc
high;;big;high;4;med;acc
high;4;;med;more;high;acc
high;3;;med;more;high;acc
high;5more;;low;more;high;acc
high;;big;high;more;high;acc
high;;big;high;more;med;acc
vhigh;;big;med;4;med;acc
high;;med;high;more;high;acc
high;3;;low;more;high;acc
high;4;;low;more;high;acc
vhigh;;med;low;more;high;acc
vhigh;;big;low;more;med;acc
vhigh;;big;low;more;high;acc
vhigh;5more;;med;more;high;acc
vhigh;4;;low;more;high;acc
vhigh;5more;;low;more;high;acc
vhigh;3;;med;more;high;acc
vhigh;;big;low;4;med;acc
vhigh;3;;low;more;high;acc
high;3;;high;more;high;acc
high;5more;;high;more;high;acc
high;4;;high;more;high;acc
vhigh;;med;med;more;high;acc
vhigh;;big;med;more;high;acc
vhigh;;big;med;more;med;acc
med;4;;med;more;med;acc
med;5more;;med;more;med;acc
high;;big;low;more;high;acc
high;;big;low;more;med;acc
med;3;;med;more;med;acc
med;;big;vhigh;4;med;acc
med;;big;vhigh;more;high;acc
med;;big;vhigh;more;med;acc
high;;med;low;more;high;acc
med;;med;vhigh;more;high;acc
high;;big;med;4;med;acc
med;4;;vhigh;more;high;acc
high;;med;med;more;high;acc
high;;big;med;more;med;acc
med;5more;;vhigh;more;high;acc
high;;big;med;more;high;acc
med;3;;vhigh;more;high;acc
vhigh;4;;med;more;high;acc
med;4;;high;more;high;acc
med;5more;;high;more;high;acc
high;;big;low;4;med;acc
med;3;;high;more;high;acc
med;3;med;vhigh;more;med;acc
vhigh;5more;med;med;more;med;acc
vhigh;5more;med;med;4;med;acc
med;4;med;high;4;med;acc
vhigh;3;med;low;more;med;acc
med;3;med;high;more;med;acc
med;4;med;vhigh;4;med;acc
med;4;med;vhigh;more;med;acc
med;5more;med;vhigh;more;med;acc
med;5more;med;vhigh;4;med;acc
high;4;med;med;4;med;acc
high;4;med;med;more;med;acc
high;3;med;med;more;med;acc
vhigh;4;med;med;4;med;acc
high;4;med;low;4;med;acc
high;4;med;low;more;med;acc
vhigh;3;med;med;more;med;acc
high;3;med;low;more;med;acc
high;5more;med;low;more;med;acc
vhigh;4;med;med;more;med;acc
high;5more;med;low;4;med;acc
high;5more;med;med;4;med;acc
high;5more;med;med;more;med;acc
low;5more;small;med;more;med;acc
low;4;small;med;more;med;acc
low;3;med;low;4;med;acc
low;3;small;low;more;med;acc
low;2;med;low;4;med;acc
low;2;med;low;more;med;acc
low;5more;small;high;more;high;acc
low;4;small;high;more;high;acc
low;3;med;med;4;med;acc
low;3;small;med;more;med;acc
low;2;med;med;more;med;acc
low;2;med;med;4;med;acc
