bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;;;;;;n;v;o;;;;;;;;s;;p;e
;;;;;;;;;n;v;o;p;;;;;;;;;p;e
f;;;;f;;;;;n;;;;;w;w;;;;;;;e
;;;;;;;;;n;v;o;;;;;;;s;;;p;e
;;;;f;;b;;;n;;;;;;w;;t;;;;;e
;;;;f;;b;;;n;;;;;w;;;t;;;;;e
;;;;;;;c;;n;;o;;;;;;;s;;;p;e
;;;;f;;b;;;n;;;;;;;;t;;s;;;e
;;;;f;;b;;;n;;;;;;;;t;s;;;;e
;;;;;;b;;d;;;;p;;;;;;;;w;p;e
;;;;;;;c;;n;;o;p;;;;;;;;;p;e
;;;f;f;;b;;;;;;p;;;;;;;;w;p;e
;;;f;f;;;;;n;;;p;;;;;;;;w;p;e
;;;;f;;b;;;;;o;;k;;;;;;;w;p;e
;;;;f;;;;;;;o;;n;;;;t;;;w;p;e
f;;;;f;;;w;;n;;;;;;;;;;;w;p;e
;;;;f;;;c;;;y;;;;;;;;s;;w;p;e
;;;;f;;;c;;;y;;p;;;;;;;;w;p;e
;;;;f;;;;;n;;o;;k;;;;;;;w;p;e
;;;f;f;;;;;;;o;;;;;;t;;;w;p;e
;;;;f;;;;;;;o;;k;;;;t;;;w;p;e
f;;;;f;;b;;g;;;;;;;w;;;;;w;p;e
;;;;f;;;w;g;;;;;;w;w;;;;;w;p;e
;;;;f;;;;d;;;o;p;;;;;t;;;w;p;e
;;;;f;;;c;d;n;;;p;;;;;;;;w;p;e
;;;y;f;;b;c;;;;o;p;;;;;;;;w;p;e
f;;;;f;;;c;;;;;;;;;;;k;;;;p
f;;;y;;;;c;;;;;;;;;;;k;;;;p
f;;;;;;;c;;;;;;;;;;;k;;w;p;p
f;;;;f;;;c;;f;;;;;;;;;;k;;;p
f;;;;;;;;;;;o;;;;;;;k;;w;p;p
;;;;f;;b;c;;f;;;;;;;;e;;;;;p
;;;s;;;;c;;;v;o;;;;;;;;;w;p;p
f;;;;;;b;;;;;o;;;;;;e;;;w;p;p
;;;;;;;;;;v;o;;w;;;?;;;;w;p;p
;;;;;;;c;;;v;o;;w;;;;;;;w;p;p
;;;;f;;;c;;f;;o;;;;;;;;;w;p;p
f;;;;f;;;;;;;o;;;;;;;;k;w;p;p
f;;;;f;;;c;;;;o;;;;p;;;;;w;p;p
;;;;f;;;c;;;;o;;;;;b;e;;;w;p;p
;;;;f;;b;;;;;o;;;;;b;e;;;w;p;p
;;;;f;;n;;;;;o;;w;;;;t;;;w;p;p
;;;;f;;;;;;v;o;e;;;;;t;;;w;p;p
;;;s;f;;;c;;;;o;;;;;;t;;;w;p;p
f;;;;f;;;c;p;;;o;;;;;;;;;w;p;p
f;;;;f;;;c;;;;o;;;p;;;;;;w;p;p
;;;;f;;;c;;;;o;;h;;;b;;;;w;p;p
;;;s;f;;n;c;;;;o;;;;;;;;;w;p;p
;;;;f;;b;c;;;;;;h;;;b;e;;;w;p;p
