Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
usual;proper;complete;1;convenient;convenient;slightly_prob;recommended;recommend
usual;proper;complete;1;convenient;convenient;nonprob;recommended;recommend
pretentious;proper;complete;1;;;slightly_prob;recommended;very_recom
pretentious;proper;complete;1;;;nonprob;recommended;very_recom
usual;less_proper;;;convenient;convenient;nonprob;recommended;very_recom
usual;less_proper;;;convenient;convenient;slightly_prob;recommended;very_recom
pretentious;less_proper;;;convenient;convenient;slightly_prob;recommended;very_recom
pretentious;less_proper;;;convenient;convenient;nonprob;recommended;very_recom
usual;less_proper;complete;1;;;nonprob;recommended;very_recom
usual;less_proper;complete;1;;;slightly_prob;recommended;very_recom
usual;improper;;;convenient;convenient;nonprob;recommended;very_recom
usual;improper;;;convenient;convenient;slightly_prob;recommended;very_recom
pretentious;proper;;;convenient;convenient;nonprob;recommended;very_recom
pretentious;proper;;;convenient;convenient;slightly_prob;recommended;very_recom
usual;improper;complete;1;;;nonprob;recommended;very_recom
usual;improper;complete;1;;;slightly_prob;recommended;very_recom
pretentious;less_proper;complete;1;;;slightly_prob;recommended;very_recom
pretentious;less_proper;complete;1;;;nonprob;recommended;very_recom
pretentious;proper;complete;2;convenient;;nonprob;recommended;very_recom
pretentious;proper;complete;2;less_conv;;nonprob;recommended;very_recom
pretentious;proper;complete;2;less_conv;;slightly_prob;recommended;very_recom
pretentious;proper;complete;2;convenient;;slightly_prob;recommended;very_recom
pretentious;proper;incomplete;1;convenient;;nonprob;recommended;very_recom
pretentious;proper;incomplete;1;convenient;;slightly_prob;recommended;very_recom
pretentious;proper;incomplete;1;less_conv;;slightly_prob;recommended;very_recom
pretentious;proper;incomplete;1;less_conv;;nonprob;recommended;very_recom
pretentious;proper;completed;2;convenient;;nonprob;recommended;very_recom
pretentious;proper;completed;2;convenient;;slightly_prob;recommended;very_recom
pretentious;proper;completed;1;convenient;;slightly_prob;recommended;very_recom
pretentious;proper;completed;1;convenient;;nonprob;recommended;very_recom
pretentious;proper;completed;1;less_conv;;slightly_prob;recommended;very_recom
pretentious;proper;completed;1;less_conv;;nonprob;recommended;very_recom
pretentious;proper;completed;2;less_conv;;nonprob;recommended;very_recom
pretentious;proper;completed;2;less_conv;;slightly_prob;recommended;very_recom
pretentious;less_proper;complete;2;less_conv;;nonprob;recommended;very_recom
pretentious;less_proper;complete;2;less_conv;;slightly_prob;recommended;very_recom
pretentious;less_proper;complete;2;convenient;;nonprob;recommended;very_recom
pretentious;less_proper;complete;2;convenient;;slightly_prob;recommended;very_recom
