Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6
;;;;;low;unacc
;;;2;;;unacc
vhigh;vhigh;;;;;unacc
high;vhigh;;;;;unacc
vhigh;high;;;;;unacc
vhigh;;;;small;med;unacc
;;2;more;small;;unacc
high;;;;small;med;unacc
;vhigh;;;small;med;unacc
;vhigh;2;;med;med;unacc
high;;2;;med;med;unacc
vhigh;;2;;med;med;unacc
med;high;;;small;med;unacc
high;;3;4;med;med;unacc
vhigh;;3;4;med;med;unacc
;vhigh;3;4;med;med;unacc
med;high;2;;med;med;unacc
med;high;3;4;med;med;unacc
high;low;;4;;high;acc
high;med;;4;;high;acc
med;vhigh;;4;;high;acc
high;high;;4;;high;acc
low;vhigh;;4;;high;acc
vhigh;low;;4;;high;acc
low;high;;4;;med;acc
vhigh;med;;4;;high;acc
med;high;;4;;high;acc
med;med;;4;;med;acc
med;med;;4;small;high;acc
low;high;5more;more;;med;acc
low;high;4;more;;med;acc
med;med;;more;big;med;acc
med;med;;more;med;med;acc
low;vhigh;4;more;;high;acc
med;high;;4;big;med;acc
med;high;;more;big;high;acc
med;high;;more;med;high;acc
med;high;;more;big;med;acc
low;vhigh;3;more;;high;acc
low;high;3;more;;med;acc
low;vhigh;5more;more;;high;acc
low;low;;4;small;med;acc
low;med;;4;small;med;acc
med;low;;4;small;med;acc
low;high;;more;med;med;acc
low;high;;more;big;med;acc
low;high;;4;small;high;acc
low;vhigh;;more;big;med;acc
low;vhigh;;4;big;med;acc
low;vhigh;;more;med;high;acc
low;vhigh;;more;big;high;acc
high;med;5more;more;;high;acc
high;high;;4;big;med;acc
high;med;4;more;;high;acc
high;med;3;more;;high;acc
high;low;5more;more;;high;acc
high;high;;more;big;high;acc
high;high;;more;big;med;acc
vhigh;med;;4;big;med;acc
high;high;;more;med;high;acc
high;low;3;more;;high;acc
high;low;4;more;;high;acc
vhigh;low;;more;med;high;acc
vhigh;low;;more;big;med;acc
vhigh;low;;more;big;high;acc
vhigh;med;5more;more;;high;acc
vhigh;low;4;more;;high;acc
vhigh;low;5more;more;;high;acc
vhigh;med;3;more;;high;acc
vhigh;low;;4;big;med;acc
vhigh;low;3;more;;high;acc
high;high;3;more;;high;acc
high;high;5more;more;;high;acc
high;high;4;more;;high;acc
vhigh;med;;more;med;high;acc
vhigh;med;;more;big;high;acc
vhigh;med;;more;big;med;acc
med;med;4;more;;med;acc
med;med;5more;more;;med;acc
high;low;;more;big;high;acc
high;low;;more;big;med;acc
high;low;;more;med;high;acc
med;med;3;more;;med;acc
med;vhigh;;4;big;med;acc
med;vhigh;;more;big;high;acc
med;vhigh;;more;big;med;acc
med;vhigh;;more;med;high;acc
high;med;;4;big;med;acc
med;vhigh;4;more;;high;acc
high;med;;more;med;high;acc
high;med;;more;big;med;acc
med;vhigh;5more;more;;high;acc
high;med;;more;big;high;acc
med;vhigh;3;more;;high;acc
vhigh;med;4;more;;high;acc
med;high;4;more;;high;acc
med;high;5more;more;;high;acc
high;low;;4;big;med;acc
med;high;3;more;;high;acc
med;vhigh;3;more;med;med;acc
vhigh;med;5more;more;med;med;acc
vhigh;med;5more;4;med;med;acc
med;high;4;4;med;med;acc
vhigh;low;3;more;med;med;acc
med;high;3;more;med;med;acc
med;vhigh;4;4;med;med;acc
med;vhigh;4;more;med;med;acc
med;vhigh;5more;more;med;med;acc
med;vhigh;5more;4;med;med;acc
high;med;4;4;med;med;acc
high;med;4;more;med;med;acc
high;med;3;more;med;med;acc
vhigh;med;4;4;med;med;acc
high;low;4;4;med;med;acc
high;low;4;more;med;med;acc
vhigh;med;3;more;med;med;acc
high;low;3;more;med;med;acc
high;low;5more;more;med;med;acc
vhigh;med;4;more;med;med;acc
high;low;5more;4;med;med;acc
high;med;5more;4;med;med;acc
high;med;5more;more;med;med;acc
low;med;5more;more;small;med;acc
low;med;4;more;small;med;acc
low;low;3;4;med;med;acc
low;low;3;more;small;med;acc
low;low;2;4;med;med;acc
low;low;2;more;med;med;acc
low;high;5more;more;small;high;acc
low;high;4;more;small;high;acc
low;med;3;4;med;med;acc
low;med;3;more;small;med;acc
low;med;2;more;med;med;acc
